ID	Наименование	(Отсутствует имя столбца)	Описание	ID_Группы	IsGroup	НаименованиеКраткое	НаименованиеВыст	СМаршрутом	НаименованиеНаАнглийском	ID_ВидПропорции	Устаревший	УчитыватьВКолВе	ЦФО	НаименованиеСПараметрами	ID_Монолит	НаименованиеСПараметрамиАнгл	Налог	Guid
401	Организация внутрироссийской смешанной перевозки	0	Внутрироссийская смешанная перевозка	454	0	Внутрироссийская смешанная перевозка		1	NULL	NULL	0	1		Организация внутрироссийской смешанной перевозки по маршруту <Нас_пункт_начала> <Адрес_начала> - <Нас_пункт_окончания> <Адрес_окончания>	БП-00000372	Organization of domestic multimodal transportation <Нас_пункт_начала> <Адрес_начала> - <Нас_пункт_окончания> <Адрес_окончания>	18	NULL
403	Внутрипортовое экспедирование 0%	0	Как составная часть международной перевозки при применении НДС0%	454	0	Внутрипортовое экспедирование 0%		0	NULL	NULL	0	1		Внутрипортовое экспедирование в <Нас_пункт_начала>	00-00000012	Intraport forwarding in <Нас_пункт_начала>	0	NULL
404	Внутрипортовое экспедирование 18%	0	При применении ставки НДС18%	454	0	Внутрипортовое экспедирование 18%		0	NULL	NULL	0	1		Внутрипортовое экспедирование в <Нас_пункт_начала>	5867	Intraport forwarding in <Нас_пункт_начала>	18	NULL
405	Возмещение стоимости страхования груза	0	Страхование груза	456	0	Страхование груза		0	NULL	NULL	0	0		Возмещение стоимости страхования груза по полису/сертификату № 	5905	Reimbursement of the cost of cargo insurance by policy/certificate №	0	NULL
407	Вознаграждение экспедитора 18%	0	Внутрироссийская или этап международной с выставлением НДС18%	454	0	Вознаграждение экспедитора 18%		0	NULL	NULL	0	1		Вознаграждение экспедитора за организацию внутрироссийской перевозки	5884	Freight forwarder's fee for organization of domestic transportation	18	NULL
410	Сверхнормативное использование контейнера 0%	0	NULL	457	0	Детеншн 0%		0	NULL	NULL	0	1		Сверхнормативное использование контейнера с <Дата_начала> по <Дата_окончания>	5891	Container detention from DD.MM.YY till DD.MM.YY	0	NULL
411	Сверхнормативное использование контейнера 18%	0	NULL	457	0	Детеншн 18%		0	NULL	NULL	0	1		Сверхнормативное использование контейнера с <Дата_начала> по <Дата_окончания>	5882	Container detention from DD.MM.YY till DD.MM.YY	18	NULL
414	Документационные услуги 0%	0	Сбор линии/авиакомпании при международной перевозке	457	0	Документационные услуги 0%		0	NULL	NULL	0	1		Документационные услуги при международной перевозке	5893	Documentation services for international transportation	0	NULL
415	Документационные услуги 18%	0	Сбор линии/авиакомпании при внутрироссийской перевозке или этапе международной с выставлением НДС18%	457	0	Документационные услуги 18%		0	NULL	NULL	0	1		Документационные услуги при внутрироссийской перевозке	5879	Documentation services for domestic transportation	18	NULL
419	Организация внутрироссийской автомобильной перевозки	0	Внутрироссийская автоперевозка	454	0	Внутрироссийская автоперевозка		1	NULL	NULL	0	1		Организация внутрироссийской автомобильной перевозки по маршруту <Нас_пункт_начала> <Адрес_начала> - <Нас_пункт_окончания> <Адрес_окончания>	5870	Organization of domestic road transportation <Нас_пункт_начала> <Адрес_начала> - <Нас_пункт_окончания> <Адрес_окончания>	18	NULL
420	Организация внутрироссийской авиаперевозки	0	Внутриросская авиаперевозка	454	0	Внутриросская авиаперевозка		1	NULL	NULL	0	1		Организация внутрироссийской авиаперевозки по маршруту: <Нас_пункт_начала> - <Нас_пункт_окончания>	БП-00000247	Organization of domestic air transportation <Нас_пункт_начала> - <Нас_пункт_окончания>	18	NULL
421	Организация внутрироссийской железнодорожной перевозки	0	Внутрироссийская железнодорожная перевозка	454	0	Внутрироссийская ж/д перевозка		1	NULL	NULL	0	1		Организация внутрироссийской железнодорожной перевозки по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	5871	Organization of domestic rail transportation <Нас_пункт_начала>  - <Нас_пункт_окончания>	18	NULL
422	Организация внутрироссийской речной перевозки	0	Внутрироссийская речная перевозка	454	0	Внутрироссийская речная перевозка		1	NULL	NULL	0	1		Организация внутрироссийской речной перевозки по мартшруту <Нас_пункт_начала> - <Нас_пункт_окончания>	5872	Organization of domestic river transportation <Нас_пункт_начала> <Адрес_начала> - <Нас_пункт_окончания> <Адрес_окончания>	18	NULL
423	Возмещение страхования контейнерного оборудования	0	Страхование контейнера	456	0	Страхование контейнера		0	NULL	NULL	0	0		Возмещение стоимости страхования контейнера по полису/сертификату № 	6013	Reimbursement of the cost of container insurance by policy/certificate №	0	NULL
424	Организация международной авиаперевозки	0	Международная авиаперевозка	454	0	Международная авиаперевозка		1	NULL	NULL	0	1		Организация международной авиаперевозки по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	5889	Organization of international air transportation <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
425	Организация международной автомобильной перевозки	0	Международная автоперевозка	454	0	Международная автоперевозка		1	NULL	NULL	0	1		Организация международной автомобильной перевозки по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	5868	Organization of international road transportation <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
426	Организация международной железнодорожной перевозки	0	Международная ж/д перевозка	454	0	Международная ж/д перевозка		1	NULL	NULL	0	1		Организация международной железнодорожной перевозки по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	БП-00000356	Organization of international rail transportation <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
427	Организация международной морской перевозки по маршруту 0%	0	Международная морская перевозка	454	0	Международная морская перевозка		1	NULL	NULL	0	1		Организация международной морской перевозки по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	5859	Organization of international sea transportation <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
429	Организация части международной перевозки ж/д и автомобильным транспортом	0	Международная, довоз ж/д + авто	454	0	Международная, довоз ж/д + авто		1	NULL	NULL	0	1		Организация части международной перевозки ж/д и автомобильным транспортом по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	6352	Organization of a part of international transportation by rail and road transport along the route <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
430	Организация части международной перевозки автомобильным транспортом	0	Международная, довоз авто	454	0	Международная, довоз авто		1	NULL	NULL	0	1		Организация части международной перевозки автомобильным транспортом по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	6351	Organization of a part of international transportation by road transport along the route <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
431	Организация международной смешанной перевозки	0	Международная смешанная перевозка	454	0	Международная смешанная перевозка		1	NULL	NULL	0	1		Организация международной смешанной перевозки по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	БП-00000441	Organization of international multimodal transportation <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
432	Организация оформления ВТТ	0	Оформление ВТТ с НДС18%	456	0	Оформление ВТТ НДС18%		0	NULL	NULL	0	1		Оформление ВТТ	6298	Execution of domestic customs transit declaration	18	NULL
433	Оформление релиз-ордера 18%	0	NULL	400	0	Оформление релиз-ордера 18%		0	NULL	NULL	0	NULL		Оформление релиз-ордера	6024	NULL	18	NULL
434	Перемещение контейннеров 0%	0	NULL	400	0	Перемещение контейнеров 0%		0	NULL	NULL	0	NULL		Перемещение контейннеров	6022	NULL	0	NULL
435	Перемещение контейннеров 18%	0	NULL	400	0	Перемещение контейннеров 18%		0	NULL	NULL	0	NULL		Перемещение контейннеров	5880	NULL	18	NULL
436	Промывка железнодорожных вагонов	0	NULL	457	0	Промывка железнодорожных вагонов		0	NULL	NULL	0	1		Промывка железнодорожных вагонов	БП-00000434	Flushing of railway cars	18	NULL
437	Простой автомобильного траснпорта 0%	0	NULL	400	0	Простой автомобильного траснпорта 0%		0	NULL	NULL	0	NULL		Простой автомобильного траснпорта	5894	NULL	0	NULL
438	Простой автомобильного траснпорта 18%	0	NULL	400	0	Простой автомобильного траснпорта 18%		0	NULL	NULL	0	NULL		Простой автомобильного траснпорта	5883	NULL	18	NULL
439	Погрузо-разгрузочные работы 0%	0	NULL	457	0	ПРР 0%		0	NULL	NULL	0	1		Погрузо-разгрузочные работы	5876	Cargo handling	0	NULL
440	Погрузо-разгрузочные работы 18%	0	NULL	457	0	ПРР 18%		0	NULL	NULL	0	1		Погрузо-разгрузочные работы	5892	Cargo handling	18	NULL
441	Сбор за выдачу контейнера без НДС	0	NULL	400	0	Сбор за выдачу контейнера без НДС		0	NULL	NULL	0	NULL		Сбор за выдачу контейнера без НДС	5896	NULL	0	NULL
443	Сбор Линии за выдачу оборудования при самовывозе 18%	0	NULL	400	0	Сбор Линии за выдачу оборудования при самовывозе 18%		0	NULL	NULL	0	NULL		Сбор Линии за выдачу оборудования при самовывозе	6028	NULL	18	NULL
444	Терминальная обработка 0 %	0	NULL	400	0	Терминальная обработка 0%		0	NULL	NULL	0	NULL		Терминальная обработка	00-00000178	NULL	0	NULL
445	Терминальная обработка 18%	0	NULL	400	0	Терминальная обработка 18%		0	NULL	NULL	0	NULL		Терминальная обработка	5878	NULL	18	NULL
447	Холостой пробег автотранспорта 18%	0	NULL	400	0	Холостой пробег автотранспорта 18%		0	NULL	NULL	0	NULL		Холостой пробег автотранспорта	БП-00000373	NULL	18	NULL
448	Хранение с 00.00.00 по 00.00.00 ( в порту, на терминале, на СВХ, на складе) 0%	0	NULL	400	0	Хранение с 00.00.00 по 00.00.00 ( в порту, на терминале, на СВХ, на складе) 0%		0	NULL	NULL	0	NULL		Хранение ( в порту, на терминале, на СВХ, на складе)	6026	NULL	0	NULL
449	Хранение с 00.00.00 по 00.00.00 ( в порту, на терминале, на СВХ, на складе) 18%	0	NULL	400	0	Хранение с 00.00.00 по 00.00.00 ( в порту, на терминале, на СВХ, на складе) 18%		0	NULL	NULL	0	NULL		Хранение ( в порту, на терминале, на СВХ, на складе)	5877	NULL	18	NULL
450	Штраф линии без НДС	0	NULL	400	0	Штраф линии без НДС		0	NULL	NULL	0	NULL		Штраф линии без НДС	6040	NULL	0	NULL
454	ДТЛ: Экспедирование	0	NULL	400	1	NULL	NULL	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL
456	ДТЛ: Прочее	0	NULL	400	1	NULL	NULL	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL
457	ДТЛ: Терминальная обработка	0	NULL	400	1	NULL	NULL	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL
458	ДТЛ: Перевозка собственным транспортом	0	NULL	400	1	NULL	NULL	0	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL
459	Вознаграждение экспедитора 0%	0	Международная перевозка	454	0	Вознаграждение экспедитора 0%	NULL	NULL	NULL	NULL	NULL	1		Вознаграждение экспедитора за организацию международной перевозки	NULL	Freight forwarder's fee for organization of international transportation	0	NULL
463	Организация внутрироссийской автомобильной перевозки собственным транспортом	0	Машинами Профиль-Евро	458	0	Внутрироссийская автомобильная перевозка собственным транспортом	NULL	1	NULL	NULL	NULL	1		Организация внутрироссийской автомобильной перевозки по маршруту <Нас_пункт_начала> <Адрес_начала> - <Нас_пункт_окончания> <Адрес_окончания>	NULL	Organization of domestic road transportation <Нас_пункт_начала> <Адрес_начала> - <Нас_пункт_окончания> <Адрес_окончания>	18	NULL
464	Организация внутрироссийской морской перевозки	0	Внутрироссийская морская перевозка	454	0	Внутрироссийская морская перевозка	NULL	1	NULL	NULL	NULL	1		Организация внутрироссийской морской перевозки по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	NULL	Organization of domestic sea transportation <Нас_пункт_начала>  - <Нас_пункт_окончания>	18	NULL
465	Организация международной речной перевозки	0	Международная речная перевозка	454	0	Международная речная перевозка	NULL	1	NULL	NULL	NULL	1		Организация международной речной перевозки по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	NULL	Organization of international river transportation <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
466	Организация части международной перевозки ж/д транспортом	0	Международная, довоз ж/д	454	0	Международная, довоз ж/д	NULL	1	NULL	NULL	NULL	1	NULL	Организация части международной перевозки ж/д транспортом по маршруту <Нас_пункт_начала> - <Нас_пункт_окончания>	NULL	Organization of a part of international transportation by rail transport along the route <Нас_пункт_начала> - <Нас_пункт_окончания>	0	NULL
467	Сверхнормативное хранение контейнера 0%	0	Сверхнормативное хранение контейнера 0%	457	0	Демередж 0%	NULL	NULL	NULL	NULL	NULL	1	NULL	Сверхнормативное хранение контейнера	NULL	Container demmurage from DD.MM.YY till DD.MM.YY	0	NULL
468	Сверхнормативное хранение контейнера 18%	0	Сверхнормативное хранение контейнера 18%	457	0	Демередж 18%	NULL	NULL	NULL	NULL	NULL	1	NULL	Сверхнормативное хранение контейнера 18%	NULL	Container demmurage from DD.MM.YY till DD.MM.YY	18	NULL
469	Хранение груза 0%	0	Хранение 0%	457	0	Хранение 0%	NULL	NULL	NULL	NULL	NULL	1		Хранение груза при международной перевозке с <Дата_начала> по <Дата_окончания>	NULL	Cargo storage from DD.MM.YY till DD.MM.YY	0	NULL
470	Хранение груза 18%	0	Хранение 18%	457	0	Хранение 18%	NULL	NULL	NULL	NULL	NULL	1		Хранение груза с <Дата_начала> по <Дата_окончания>	NULL	Cargo storage from DD.MM.YY till DD.MM.YY	18	NULL
471	Взвешивание контейнера 0%	0	NULL	457	0	NULL	NULL	NULL	NULL	NULL	0	1		Взвешивание контейнера	NULL	NULL	0	NULL
472	Взвешивание контейнера 18%	0	NULL	457	0	NULL	NULL	NULL	NULL	NULL	0	1		Взвешивание контейнера 18%	NULL	NULL	18	NULL
473	Взвешивание транспортного средства 0%	0	NULL	457	0		NULL	NULL	NULL	NULL	NULL	1		Взвешивание транспортного средства 0%	NULL	NULL	0	NULL
474	Взвешивание транспортного средства 18%	0	NULL	457	0	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	Взвешивание транспортного средства 18%	NULL	NULL	18	NULL
475	Сдача порожнего контейнера 0%	0	NULL	457	0	NULL	NULL	NULL	NULL	NULL	NULL	1		Сдача порожнего контейнера 0%	NULL	NULL	10	NULL
476	Сдача порожнего контейнера 18%	0	NULL	457	0	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	Сдача порожнего контейнера 18%	NULL	NULL	18	NULL
1045	Перегрузка товара из одного ТС в другое	0	NULL	457	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Перегрузка товара из одного ТС в другое	NULL	NULL	NULL	NULL
1046	Промывка контейнера	0	NULL	457	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Промывка контейнера	NULL	NULL	18	NULL
1047	Таможенное оформление в стране отправления	0	NULL	456	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Таможенное оформление в стране отправления	NULL	NULL	NULL	NULL
1048	Услуги сюрвейера	0	NULL	456	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Услуги сюрвейера	NULL	NULL	0	NULL
